histone_name,locus
HTB7,At3g09480
HTB10,At5g02570
HTB6,At3g53650
HTBS5,At2g37470
HTB11,At3g46030
HTB9,At3g45980
HTB4,At5g59910
HTB1,At1g07790
HTB2,At5g22880
HTB3,At2g28720
HTB8,At1g08170
